subdataset,tipo_dataset,tamanioS1,tamanioS2,costobf,costodp,tiempo_bf,tiempo_dp
1,common_substring,3,3,4,4,28.263000,0.003000
1,common_substring,3,3,4,4,0.004000,0.001000
1,common_substring,3,3,4,4,0.004000,0.001000
1,common_substring,6,6,6,6,0.719000,0.005000
1,common_substring,6,6,6,6,0.705000,0.004000
1,common_substring,6,6,6,6,0.715000,0.005000
1,common_substring,10,10,10,10,690.627991,0.014000
1,common_substring,10,10,10,10,678.710999,0.013000
1,common_substring,10,10,10,10,683.565979,0.014000
1,common_substring,12,12,12,12,22025.439453,0.018000
1,common_substring,12,12,12,12,21583.308594,0.020000
1,common_substring,12,12,12,12,21922.523438,0.018000
1,common_substring,14,14,14,14,674404.625000,0.032000
1,common_substring,14,14,14,14,673045.562500,0.022000
1,common_substring,14,14,14,14,680397.750000,0.027000
2,empty_vs_n,0,3,3,3,0.000000,0.001000
2,empty_vs_n,0,3,3,3,0.000000,0.000000
2,empty_vs_n,0,3,3,3,0.000000,0.000000
2,empty_vs_n,0,6,6,6,0.000000,0.000000
2,empty_vs_n,0,6,6,6,0.000000,0.000000
2,empty_vs_n,0,6,6,6,0.000000,0.000000
2,empty_vs_n,0,10,10,10,0.000000,0.000000
2,empty_vs_n,0,10,10,10,0.000000,0.000000
2,empty_vs_n,0,10,10,10,0.000000,0.000000
2,empty_vs_n,0,12,12,12,0.000000,0.000000
2,empty_vs_n,0,12,12,12,0.000000,0.000000
2,empty_vs_n,0,12,12,12,0.000000,0.000000
2,empty_vs_n,0,14,14,14,0.000000,0.000000
2,empty_vs_n,0,14,14,14,0.000000,0.000000
2,empty_vs_n,0,14,14,14,0.000000,0.000000
3,high_similarity,3,3,0,0,0.006000,0.002000
3,high_similarity,3,3,0,0,0.004000,0.001000
3,high_similarity,3,3,0,0,0.004000,0.001000
3,high_similarity,6,6,2,2,0.707000,0.005000
3,high_similarity,6,6,2,2,0.689000,0.004000
3,high_similarity,6,6,2,2,0.699000,0.005000
3,high_similarity,10,10,4,4,671.219971,0.014000
3,high_similarity,10,10,2,2,670.177002,0.013000
3,high_similarity,10,10,4,4,669.651978,0.013000
3,high_similarity,12,12,4,4,21831.503906,0.018000
3,high_similarity,12,12,4,4,21118.751953,0.017000
3,high_similarity,12,12,4,4,21478.843750,0.017000
3,high_similarity,14,14,4,4,674738.000000,0.022000
3,high_similarity,14,14,4,4,675667.750000,0.021000
3,high_similarity,14,14,4,4,670364.937500,0.020000
4,random_nxm,3,3,6,6,0.006000,0.002000
4,random_nxm,3,3,5,5,0.004000,0.001000
4,random_nxm,3,3,6,6,0.004000,0.001000
4,random_nxm,6,6,10,10,0.695000,0.004000
4,random_nxm,6,6,10,10,0.682000,0.004000
4,random_nxm,6,6,8,8,0.696000,0.005000
4,random_nxm,10,10,18,18,668.030029,0.012000
4,random_nxm,10,10,16,16,665.418030,0.013000
4,random_nxm,10,10,16,16,672.986023,0.013000
4,random_nxm,12,12,18,18,21254.412109,0.016000
4,random_nxm,12,12,17,17,21161.779297,0.017000
4,random_nxm,12,12,16,16,21206.302734,0.017000
4,random_nxm,14,14,24,24,673197.812500,0.019000
4,random_nxm,14,14,22,22,677998.125000,0.020000
4,random_nxm,14,14,24,24,673357.625000,0.021000
5,transpositions,3,3,1,1,0.006000,0.003000
5,transpositions,3,3,1,1,0.004000,0.002000
5,transpositions,3,3,1,1,0.004000,0.002000
5,transpositions,6,6,2,2,0.715000,0.004000
5,transpositions,6,6,3,3,0.754000,0.005000
5,transpositions,6,6,3,3,0.727000,0.005000
5,transpositions,10,10,5,5,702.609985,0.013000
5,transpositions,10,10,5,5,715.104980,0.014000
5,transpositions,10,10,5,5,706.549011,0.014000
5,transpositions,12,12,6,6,22341.515625,0.017000
5,transpositions,12,12,6,6,22319.318359,0.017000
5,transpositions,12,12,6,6,22526.220703,0.017000
5,transpositions,14,14,7,7,725498.375000,0.031000
5,transpositions,14,14,7,7,716229.250000,0.022000
5,transpositions,14,14,7,7,714859.875000,0.021000
